URL,Headline,Publish Date,Publication Reach,Article Reach,Domain Name,Publication Name,Publication Location,Language,Brand,Content Type,Story Prominence,Authors,isDuplicate
http://mainichi.jp/articles/20260203/pr2/00m/020/369000c,大手企業4社の若手が挑む、事業創出プログラム「U30 Business Bootcamp」が開幕（PR TIMES）,03 Feb 2026,36038927,107190,mainichi.jp,Mainichi Shimbun,Japan,Japanese,Antler,General News,Passing Mention,NA,No
https://news.infoseek.co.jp/article/prtimes_000000001_000176275/,大手企業4社の若手が挑む、事業創出プログラム「U30 Business Bootcamp」が開幕,03 Feb 2026,18302934,812919,news.infoseek.co.jp,Up News Info,Japan,Japanese,Antler,General News,Passing Mention,NA,No
https://germanic.news/daten-zeigen-dass-y-combinator-im-jahr-2025-mit-abstand-der-aktivste-fintech-investor-war/,"Daten zeigen, dass Y Combinator im Jahr 2025 mit Abstand der aktivste Fintech-Investor war",03 Feb 2026,1827,1,germanic.news,Germanic News,Canada,German,Antler,General News,Passing Mention,NA,No
https://worldofsoftware.org/y-combinator-was-by-far-the-most-active-fintech-investor-in-2025-data-shows/,"Y Combinator Was By Far The Most-Active Fintech Investor in 2025, Data Shows",03 Feb 2026,599,20,worldofsoftware.org,NA,United States,English,Antler,General News,Passing Mention,NA,No
https://news.crunchbase.com/venture/most-active-fintech-investors-2025-y-combinator-a16z/,"Y Combinator Was By Far The Most-Active Fintech Investor in 2025, Data Shows",03 Feb 2026,377248,481,news.crunchbase.com,Crunchbase News,United States,English,Antler,General News,Passing Mention,NA,No
https://upplus.in/mysa-funding-ai,Mysa Secures ₹28 Crore to Revolutionize Mid-Market Finance with AI,03 Feb 2026,320,5,upplus.in,NA,India,English,Antler,General News,Passing Mention,NA,No
https://www.shifter.no/nyheter/bygg-tech-startupen-volve-gikk-fra-null-til-6-millioner-pa-ett-ar/451044,Bygg-tech-startupen Volve gikk fra null til 6 millioner på ett år,03 Feb 2026,NA,NA,shifter.no,NA,Norway,Norwegian,Antler,General News,Passing Mention,NA,No
https://prtimes.jp/main/html/rd/p/000000001.000176275.html,大手企業4社の若手が挑む、事業創出プログラム「U30 Business Bootcamp」が開幕,03 Feb 2026,30374315,238431,prtimes.jp,PR TIMES,Japan,Japanese,Antler,General News,Passing Mention,NA,No
https://rock-news.at/2026/02/02/marktstatus-und-analyse-von-erweiterbaren-reisetaschen-aus-leder/,Marktstatus und Analyse von erweiterbaren Reisetaschen aus Leder,02 Feb 2026,12545,25,rock-news.at,Ketik,Austria,English,Antler,General News,Passing Mention,NA,No
https://www.techverse.asia/startup/11532/02022026/dash-electric-umumkan-seed-round-dari-sagana-perkuat-operasionalnya,"Dash Electric Umumkan Seed Round dari Sagana, Perkuat Operasionalnya",02 Feb 2026,NA,NA,techverse.asia,NA,Indonesia,Indonesian,Antler,General News,Passing Mention,NA,No
